Code,Area,Period,Mean_Price,Median_Price
E09000012,Hackney,Year ending Jun 1997,80626.100119,70000.0
E09000013,Hammersmith and Fulham,Year ending Jun 1997,157928.41984,125000.0
E09000014,Haringey,Year ending Jun 1997,103575.76371,75000.0
E09000015,Harrow,Year ending Jun 1997,99099.450654,86000.0
E09000016,Havering,Year ending Jun 1997,82065.741396,70000.0
E09000017,Hillingdon,Year ending Jun 1997,86767.282659,75000.0
E09000018,Hounslow,Year ending Jun 1997,94306.409911,75000.0
E09000019,Islington,Year ending Jun 1997,135458.9,110000.0
E09000020,Kensington and Chelsea,Year ending Jun 1997,319910.58612,210000.0
E09000021,Kingston upon Thames,Year ending Jun 1997,108693.84455,88500.0
E09000022,Lambeth,Year ending Jun 1997,101148.93916,79500.0
E09000023,Lewisham,Year ending Jun 1997,67217.100752,59995.0
E09000024,Merton,Year ending Jun 1997,107475.09156,82000.0
E09000025,Newham,Year ending Jun 1997,53400.537582,52500.0
E09000026,Redbridge,Year ending Jun 1997,82761.64919,73590.0
E09000027,Richmond upon Thames,Year ending Jun 1997,158326.39521,123000.0
E09000028,Southwark,Year ending Jun 1997,94895.018878,78000.0
E09000029,Sutton,Year ending Jun 1997,82908.138211,71500.0
E09000030,Tower Hamlets,Year ending Jun 1997,100381.16132,86500.0
E09000031,Waltham Forest,Year ending Jun 1997,63089.534899,58500.0
E09000032,Wandsworth,Year ending Jun 1997,127968.8514,99000.0
E09000033,Westminster,Year ending Jun 1997,207529.94085,147000.0
E12000001,North East,Year ending Jun 1997,52481.008006,45950.0
E12000002,North West,Year ending Jun 1997,56347.642969,47995.0
E12000003,Yorkshire And The Humber,Year ending Jun 1997,56205.849984,47950.0
E12000004,East Midlands,Year ending Jun 1997,57908.788433,49000.0
E12000005,West Midlands,Year ending Jun 1997,63441.001254,53000.0
E12000006,East of England,Year ending Jun 1997,74319.917976,60000.0
E12000007,London,Year ending Jun 1997,111925.85784,80950.0
E12000008,South East,Year ending Jun 1997,89446.38035,70950.0
E12000009,South West,Year ending Jun 1997,70855.138691,59000.0
E92000001,England,Year ending Jun 1997,75648.154217,59500.0
W92000004,Wales,Year ending Jun 1997,53166.631624,46500.0
