Year,Area,Number of Individuals,Mean £,Median £
2017,Richmond-upon-Thames,"108,000","69,000","36,100"
2017,Southwark,"146,000","48,600","29,400"
2017,Sutton,"103,000","36,900","28,200"
2017,Tower Hamlets,"136,000","46,600","30,200"
2017,Waltham Forest,"138,000","31,900","25,500"
2017,Wandsworth,"171,000","67,900","34,500"
2017,Westminster,"98,000","124,000","39,700"
2017,,,,
2017,North East,"1,120,000","28,500","22,600"
2017,North West,"3,260,000","30,300","23,100"
2017,Yorkshire and The Humber,"2,410,000","29,400","22,600"
2017,East Midlands,"2,220,000","30,500","23,300"
2017,West Midlands,"2,560,000","30,300","23,200"
2017,East of England,"3,070,000","36,100","25,500"
2017,London,"4,180,000","49,000","28,800"
2017,South East,"4,630,000","39,200","26,700"
2017,South West,"2,740,000","31,300","23,700"
2017,,,,
2017,England,"26,200,000","35,500","24,700"
2017,Wales,"1,350,000","28,200","22,500"
2017,Scotland,"2,550,000","31,500","24,100"
2017,Northern Ireland,"760,000","28,900","23,200"
2017,,,,
2017,United Kingdom,"31,200,000","34,800","24,400"
,,,,
2018,City of London,"12,000","142,000","55,200"
2018,Barking and Dagenham,"85,000","28,800","25,200"
2018,Barnet,"188,000","51,600","29,900"
2018,Bexley,"130,000","34,600","26,900"
2018,Brent,"159,000","36,300","25,600"
2018,Bromley,"177,000","46,600","32,800"
2018,Camden,"106,000","87,400","35,600"
2018,Croydon,"187,000","36,500","27,800"
2018,Ealing,"173,000","39,800","26,400"
2018,Enfield,"143,000","37,200","27,300"
2018,Greenwich,"135,000","41,300","27,400"
2018,Hackney,"116,000","44,900","29,600"
2018,Hammersmith and Fulham,"99,000","72,600","34,100"
2018,Haringey,"130,000","46,300","27,400"
2018,Harrow,"131,000","39,300","27,600"
2018,Havering,"131,000","37,100","29,700"
2018,Hillingdon,"141,000","36,800","28,100"
2018,Hounslow,"140,000","42,000","27,800"
2018,Islington,"113,000","63,900","35,100"
2018,Kensington and Chelsea,"72,000","173,000","39,300"
2018,Kingston-upon-Thames,"84,000","50,300","33,300"
2018,Lambeth,"170,000","47,500","31,900"
2018,Lewisham,"140,000","38,000","27,900"
2018,Merton,"108,000","56,300","30,300"
2018,Newham,"154,000","31,000","24,300"
2018,Redbridge,"138,000","37,100","27,300"
2018,Richmond-upon-Thames,"105,000","73,800","37,600"
2018,Southwark,"158,000","49,400","31,400"
2018,Sutton,"101,000","38,500","29,700"
2018,Tower Hamlets,"136,000","49,300","31,100"
2018,Waltham Forest,"134,000","33,700","26,800"
2018,Wandsworth,"168,000","70,400","37,100"
2018,Westminster,"102,000","120,000","39,200"
2018,,,,
2018,North East,"1,160,000","28,800","22,900"
2018,North West,"3,330,000","30,900","23,700"
